emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,label,timestamp
126,125,125,125,124,125,125,125,0,1764984219.1642003
126,125,125,125,124,125,124,125,0,1764984219.164205
126,125,125,125,124,125,125,125,0,1764984219.1642098
126,125,125,125,124,125,125,125,0,1764984219.1642146
126,125,125,125,124,125,125,125,0,1764984219.1642191
126,125,125,125,125,125,125,125,0,1764984219.1642241
127,125,125,125,125,125,125,125,0,1764984219.1642292
127,125,125,125,125,125,125,125,0,1764984219.164234
127,125,125,125,124,125,125,125,0,1764984219.1642392
127,125,125,125,124,125,125,125,0,1764984219.164244
126,125,125,125,124,125,125,125,0,1764984219.1642551
126,125,125,125,124,125,125,125,0,1764984219.1845543
126,125,125,125,124,125,125,125,0,1764984219.1845584
126,125,125,125,125,125,125,125,0,1764984219.184561
126,125,125,125,125,125,125,125,0,1764984219.1845632
126,125,125,125,124,125,125,125,0,1764984219.184573
126,125,125,125,125,125,125,125,0,1764984219.1845756
126,125,125,125,124,125,125,125,0,1764984219.1845777
126,125,125,125,125,125,125,125,0,1764984219.18458
126,125,125,125,124,125,125,125,0,1764984219.1845827
127,125,125,125,125,125,125,125,0,1764984219.1845849
127,126,126,125,125,125,125,125,0,1764984219.1845872
126,125,126,125,125,125,125,125,0,1764984219.1845896
126,125,125,125,125,125,125,126,0,1764984219.1845915
126,125,125,125,125,125,125,125,0,1764984219.1845975
126,125,125,125,124,125,125,125,0,1764984219.1845999
126,125,125,125,124,125,125,125,0,1764984219.1846066
126,125,125,124,124,125,125,125,0,1764984219.2250347
127,125,125,125,124,125,125,125,0,1764984219.2250392
127,125,125,125,125,125,125,125,0,1764984219.2250419
127,125,126,125,125,125,125,125,0,1764984219.2250443
127,125,126,125,125,125,125,125,0,1764984219.2250466
127,125,125,125,125,125,125,125,0,1764984219.2250485
127,125,125,125,124,125,125,125,0,1764984219.225051
127,125,125,125,124,125,125,125,0,1764984219.225057
127,125,125,125,125,125,125,125,0,1764984219.225059
127,125,125,125,125,125,125,125,0,1764984219.2250614
127,125,125,125,125,125,125,125,0,1764984219.2250636
127,125,125,125,125,125,125,125,0,1764984219.225066
127,125,125,125,126,125,125,125,0,1764984219.225068
127,125,125,125,126,125,125,126,0,1764984219.225075
127,125,125,125,126,125,125,126,0,1764984219.2250774
126,125,125,125,125,125,125,126,0,1764984219.2351663
126,125,125,125,124,125,125,126,0,1764984219.2554324
126,125,125,125,123,125,124,125,0,1764984219.255437
126,125,125,125,122,125,124,125,0,1764984219.2554395
126,125,125,124,122,124,124,125,0,1764984219.255442
126,125,125,125,123,125,124,125,0,1764984219.2554445
126,125,125,125,124,125,124,125,0,1764984219.2554467
127,125,126,125,125,125,125,125,0,1764984219.255449
127,125,126,125,126,125,125,125,0,1764984219.2554514
126,125,125,125,126,125,125,125,0,1764984219.2554536
126,125,125,125,126,125,125,125,0,1764984219.2554557
126,125,125,125,125,125,125,125,0,1764984219.2554584
126,125,125,125,125,125,125,125,0,1764984219.2554646
126,125,125,125,124,125,125,125,0,1764984219.2554665
126,125,125,124,123,124,124,125,0,1764984219.2554684
126,125,125,124,123,124,124,125,0,1764984219.2554767
126,125,125,124,123,124,124,125,0,1764984219.2554796
126,125,125,124,123,125,125,125,0,1764984219.2758052
126,125,125,124,123,125,125,125,0,1764984219.2758095
127,125,125,125,124,125,125,125,0,1764984219.2758121
127,125,125,125,124,125,125,125,0,1764984219.2758148
127,125,125,125,124,125,125,125,0,1764984219.275821
127,125,125,125,125,125,125,125,0,1764984219.2758236
126,125,125,125,125,125,124,125,0,1764984219.2758262
126,125,125,125,125,125,124,125,0,1764984219.2758284
126,125,125,125,125,125,124,125,0,1764984219.2758307
126,125,125,124,125,125,124,125,0,1764984219.275833
126,125,125,124,125,125,125,125,0,1764984219.275835
126,125,125,125,125,125,125,125,0,1764984219.2758374
126,125,125,125,126,125,125,125,0,1764984219.2758398
126,125,125,125,125,125,125,125,0,1764984219.2758422
